,SalesOrderNumber,Cluster Labels without Region,Cluster Labels with Region
356,44188,1,2
357,44189,1,2
358,44190,0,0
359,44191,2,2
360,44192,1,1
361,44193,0,0
362,44194,0,0
363,44195,2,2
364,44196,0,0
365,44197,0,0
366,44198,0,0
367,44199,2,2
368,44200,2,2
369,44201,1,1
370,44202,0,0
371,44203,0,0
372,44204,1,2
373,44205,0,0
374,44206,2,2
375,44207,0,0
376,44208,0,0
377,44209,2,2
378,44210,1,0
379,44211,0,0
380,44212,0,0
381,44213,1,0
382,44214,0,0
383,44215,0,0
384,44216,0,0
385,44217,0,0
386,44218,0,0
387,44219,0,2
388,44220,0,0
389,44221,2,2
390,44222,2,2
391,44223,1,0
392,44224,1,0
393,44225,1,2
394,44226,1,1
395,44227,1,0
396,44228,1,1
397,44229,0,0
398,44230,2,2
399,44231,1,2
400,44232,0,0
401,44233,1,1
402,44234,0,0
403,44235,0,0
404,44236,0,0
405,44237,2,2
406,44238,0,0
407,44239,1,1
408,44240,2,2
409,44241,0,0
410,44242,0,0
411,44243,0,0
412,44244,0,0
413,44245,1,0
414,44246,1,1
415,44247,0,0
416,44248,2,2
417,44249,1,0
418,44250,0,0
419,44251,0,0
420,44252,1,0
421,44253,0,0
422,44254,0,0
423,44255,0,2
424,44256,0,0
425,44257,1,1
426,44258,2,2
427,44259,0,0
428,44260,0,0
429,44261,0,0
430,44262,1,2
431,44263,0,0
432,44264,0,0
433,44265,1,0
434,44266,1,2
435,44267,1,2
436,44268,1,0
437,44269,0,2
438,44270,1,1
439,44271,1,0
440,44272,1,1
441,44273,0,0
442,44274,0,0
443,44275,2,2
444,44276,0,0
445,44277,2,2
446,44278,0,0
447,44279,0,0
448,44320,2,2
449,44321,0,0
450,44322,1,2
451,44323,0,0
452,44324,1,1
453,44325,0,0
454,44326,1,1
455,44327,1,0
456,44328,1,1
457,44329,1,1
458,44330,0,0
459,44331,2,2
460,44332,0,0
461,44333,1,1
462,44334,0,0
463,44335,1,2
464,44336,1,0
465,44337,0,0
466,44338,0,0
467,44339,0,0
468,44340,0,0
469,44341,0,0
470,44342,0,2
471,44343,1,1
472,44344,2,2
473,44345,0,0
474,44346,0,2
475,44347,1,1
476,44348,1,0
477,44349,2,2
478,44350,2,2
479,44351,0,0
480,44352,0,0
481,44353,0,2
482,44354,0,2
483,44355,2,2
484,44356,0,0
485,44357,0,0
486,44358,1,1
487,44359,1,1
488,44360,1,0
489,44361,1,0
490,44362,2,2
491,44363,2,2
492,44364,0,2
493,44365,1,1
494,44366,1,0
495,44367,1,2
496,44368,1,0
497,44369,2,2
498,44370,0,0
499,44371,2,2
500,44372,1,1
501,44373,1,0
502,44374,1,0
503,44375,2,2
504,44376,1,0
505,44377,2,2
506,44378,0,0
507,44379,2,2
508,44380,1,1
509,44381,2,2
510,44382,1,1
511,44383,2,2
512,44384,0,0
513,44385,0,0
514,44386,1,0
515,44387,0,0
516,44388,1,1
517,44389,1,1
518,44390,0,0
519,44391,1,1
520,44392,1,1
521,44393,1,0
522,44394,0,0
523,44395,1,0
524,44396,0,0
525,44397,0,2
526,44398,1,1
527,44399,0,0
528,44400,1,0
529,44401,2,2
530,44402,1,1
531,44403,0,0
532,44404,0,0
533,44405,0,0
534,44406,1,0
535,44407,0,0
536,44408,0,0
537,44409,1,2
538,44410,0,0
539,44411,1,0
540,44412,0,0
541,44413,2,2
542,44414,1,0
543,44415,1,0
544,44416,0,0
545,44417,1,1
546,44418,1,1
547,44419,0,0
548,44420,0,0
549,44421,2,2
550,44422,1,2
551,44423,1,0
552,44424,1,1
553,44425,0,0
554,44426,1,0
555,44427,1,1
556,44428,0,0
557,44429,1,0
558,44430,1,1
559,44431,1,1
560,44432,0,0
561,44433,0,0
562,44434,0,0
563,44435,1,0
564,44436,0,2
565,44437,0,0
566,44438,1,1
567,44439,2,2
568,44440,1,1
569,44441,0,0
570,44442,0,2
571,44443,1,0
572,44444,1,0
573,44445,1,0
574,44446,1,1
575,44447,1,1
576,44448,0,0
577,44449,0,0
578,44450,0,0
579,44451,0,0
580,44452,1,2
581,44453,1,1
582,44454,1,1
583,44455,0,0
584,44456,1,0
585,44457,0,0
586,44458,0,0
587,44459,2,2
588,44460,1,2
589,44461,1,1
590,44462,1,0
591,44463,1,2
592,44464,0,0
593,44465,0,2
594,44466,0,2
595,44467,0,0
596,44468,0,0
597,44469,1,1
598,44470,1,1
599,44471,1,0
600,44472,1,0
601,44473,0,0
602,44474,0,2
603,44475,0,0
604,44476,1,1
605,44477,1,1
606,44478,1,1
607,44479,1,0
608,44480,0,0
609,44571,1,1
610,44572,0,0
611,44573,0,0
612,44574,0,2
613,44575,0,0
614,44576,0,0
615,44577,0,0
616,44578,1,0
617,44579,0,0
618,44580,1,0
619,44581,0,0
620,44582,1,1
621,44583,2,2
622,44584,0,0
623,44585,1,0
624,44586,1,0
625,44587,1,0
626,44588,0,2
627,44589,0,0
628,44590,1,1
629,44591,1,2
630,44592,1,0
631,44593,0,0
632,44594,0,0
633,44595,0,0
634,44596,0,0
635,44597,1,1
636,44598,1,0
637,44599,1,0
638,44600,0,0
639,44601,0,0
640,44602,1,0
641,44603,1,2
642,44604,1,2
643,44605,0,0
644,44606,1,0
645,44607,1,0
646,44608,0,0
647,44609,2,2
648,44610,0,0
649,44611,1,0
650,44612,0,0
651,44613,1,0
652,44614,1,0
653,44615,0,0
654,44616,0,0
655,44617,0,0
656,44618,0,0
657,44619,1,1
658,44620,2,2
659,44621,2,2
660,44622,1,0
661,44623,2,2
662,44624,1,2
663,44625,0,0
664,44626,0,0
665,44627,0,0
666,44628,1,1
667,44629,2,2
668,44630,0,0
669,44631,1,0
670,44632,2,2
671,44633,2,2
672,44634,2,2
673,44635,2,2
674,44636,1,0
675,44637,0,0
676,44638,1,0
677,44639,0,2
678,44640,0,0
679,44641,0,0
680,44642,1,2
681,44643,1,0
682,44644,1,0
683,44645,1,1
684,44646,1,0
685,44647,0,0
686,44648,0,0
687,44649,0,0
688,44650,0,0
689,44651,1,0
690,44652,1,0
691,44653,1,2
692,44654,1,0
693,44655,0,0
694,44656,0,0
695,44657,1,0
696,44658,2,2
697,44659,0,0
698,44660,1,0
699,44661,0,2
700,44662,0,0
701,44663,0,0
702,44664,2,2
703,44665,1,0
704,44666,1,0
705,44667,1,0
706,44668,1,0
707,44669,0,0
708,44670,0,0
709,44671,0,0
710,44672,2,2
711,44673,1,1
712,44674,1,0
713,44675,1,2
714,44676,2,2
715,44677,0,0
716,44678,1,0
717,44679,0,0
718,44680,0,0
719,44681,1,2
720,44682,1,0
721,44683,1,0
722,44684,0,0
723,44685,2,2
724,44686,1,0
725,44687,1,2
726,44688,2,2
727,44689,0,0
728,44690,0,0
729,44691,1,0
730,44692,0,0
731,44693,0,0
732,44694,0,0
733,44695,0,0
734,44696,2,2
735,44697,2,2
736,44698,1,0
737,44699,0,0
738,44700,0,0
739,44701,1,2
740,44702,0,0
741,44703,0,0
742,44704,1,0
743,44705,0,0
744,44706,1,0
745,44707,0,0
746,44708,0,0
747,44709,0,0
748,44710,0,0
749,44711,2,2
750,44712,0,0
751,44713,0,0
752,44714,0,0
753,44715,1,0
754,44716,0,0
755,44717,0,2
756,44718,0,0
757,44719,1,0
758,44720,1,0
759,44721,0,2
760,44722,1,1
761,44723,1,0
762,44724,0,0
763,44725,0,0
764,44726,0,2
765,44727,0,0
766,44728,1,1
767,44729,0,0
768,44730,1,1
769,44731,0,0
770,44732,0,0
771,44733,2,2
772,44734,1,0
773,44735,0,0
774,44736,0,2
775,44737,0,0
776,44738,0,0
777,44739,2,2
778,44803,1,0
779,44804,1,0
780,44805,0,0
781,44806,1,0
782,44807,1,1
783,44808,1,0
784,44809,2,2
785,44810,0,0
786,44811,0,0
787,44812,1,0
788,44813,0,0
789,44814,0,0
790,44815,0,0
791,44816,0,0
792,44817,1,0
793,44818,0,0
794,44819,0,0
795,44820,0,0
796,44821,0,0
797,44822,0,0
798,44823,0,0
799,44824,0,0
800,44825,0,0
801,44826,2,2
802,44827,0,0
803,44828,1,0
804,44829,0,2
805,44830,0,0
806,44831,1,0
807,44832,0,0
808,44833,0,0
809,44834,1,0
810,44835,0,0
811,44836,1,0
812,44837,1,0
813,44838,1,1
814,44839,0,0
815,44840,0,0
816,44841,1,0
817,44842,1,0
818,44843,0,0
819,44844,0,0
820,44845,0,0
821,44846,1,0
822,44847,0,0
823,44848,1,0
824,44849,1,2
825,44850,1,2
826,44851,0,0
827,44852,2,2
828,44853,1,0
829,44854,0,0
830,44855,0,2
831,44856,0,2
832,44857,0,0
833,44858,0,0
834,44859,2,2
835,44860,0,0
836,44861,0,0
837,44862,1,0
838,44863,1,0
839,44864,1,1
840,44865,1,1
841,44866,0,0
842,44867,1,0
843,44868,0,0
844,44869,0,0
845,44870,0,0
846,44871,1,1
847,44872,0,0
848,44873,0,0
849,44874,1,2
850,44875,2,2
851,44876,0,0
852,44877,0,0
853,44878,1,0
854,44879,0,0
855,44880,0,0
856,44881,2,2
857,44882,0,0
858,44883,0,0
859,44884,0,0
860,44885,1,0
861,44886,0,0
862,44887,0,0
863,44888,0,0
864,44889,1,1
865,44890,1,1
866,44891,0,0
867,44892,0,0
868,44893,0,0
869,44894,0,0
870,44895,1,0
871,44896,0,0
872,44897,2,2
873,44898,0,0
874,44899,1,0
875,44900,1,1
876,44901,0,0
877,44902,1,0
878,44903,2,2
879,44904,1,1
880,44905,1,0
881,44906,1,0
882,44907,1,2
883,44908,0,0
884,44909,0,0
885,44910,0,0
886,44911,0,0
887,44912,1,0
888,44913,1,0
889,44914,0,0
890,44915,1,0
891,44916,1,0
892,44917,1,1
893,44918,1,0
894,44919,0,0
895,44920,0,2
896,44921,0,0
897,44922,0,0
898,44923,1,0
899,44924,1,0
900,44925,2,2
901,44926,1,0
902,44927,0,0
903,44928,1,1
904,44929,1,0
905,44930,0,0
906,44931,1,0
907,44932,0,0
908,44933,0,0
909,44934,1,0
910,44935,0,0
911,44936,0,0
912,44937,0,0
913,44938,0,0
914,44939,1,0
915,44940,0,0
916,44941,0,0
917,44942,0,0
918,44943,1,2
919,44944,1,0
920,44945,1,2
921,44946,1,1
922,44947,0,0
923,44948,1,0
924,44949,1,1
925,44950,0,0
926,44951,0,0
927,44952,0,0
928,44953,0,0
929,44954,1,0
930,44955,1,0
931,44956,0,0
932,44957,0,0
933,44958,1,2
934,44959,0,0
935,44960,1,0
936,44961,0,0
937,44962,1,0
938,44963,0,0
939,44964,0,2
940,44965,0,2
941,44966,1,0
942,44967,1,0
943,44968,1,2
944,44969,0,0
945,44970,0,0
946,44971,1,0
947,44972,0,0
948,44973,0,0
949,44974,1,0
950,44975,0,0
951,44976,0,0
952,44977,0,0
953,44978,0,2
954,44979,0,0
955,44980,0,0
956,44981,1,0
957,44982,1,0
958,44983,0,0
959,44984,0,0
960,44985,0,0
961,44986,1,0
962,44987,0,0
963,44988,1,2
964,44989,0,0
965,44990,0,2
966,44991,0,0
967,44992,1,0
968,44993,1,1
969,44994,0,0
970,44995,0,0
971,44996,0,0
972,44997,0,0
973,44998,0,2
974,44999,0,0
975,45000,0,0
976,45001,0,0
977,45002,1,0
978,45003,0,0
979,45004,1,0
980,45005,0,0
981,45006,1,0
982,45007,1,1
983,45008,1,0
984,45009,1,2
985,45010,0,0
986,45011,0,0
987,45012,0,2
988,45013,0,0
989,45014,1,0
990,45015,1,1
991,45016,1,0
992,45017,0,0
993,45018,2,2
994,45019,0,0
995,45020,1,0
996,45021,1,1
997,45022,0,0
998,45023,1,0
999,45024,1,1
1000,45025,0,0
1001,45026,0,0
1002,45027,0,0
1003,45028,0,0
1004,45029,1,0
1005,45030,2,2
1006,45031,1,0
1007,45032,1,0
1008,45033,0,0
1009,45034,0,0
1010,45035,0,0
1011,45036,0,0
1012,45037,1,0
1013,45078,1,0
1014,45079,0,0
1015,45080,0,2
1016,45081,1,2
1017,45082,2,2
1018,45083,1,1
1019,45084,0,0
1020,45085,0,0
1021,45086,0,0
1022,45087,1,0
1023,45088,1,0
1024,45089,0,0
1025,45090,0,0
1026,45091,0,0
1027,45092,1,0
1028,45093,1,0
1029,45094,0,0
1030,45095,1,1
1031,45096,1,1
1032,45097,0,0
1033,45098,0,0
1034,45099,0,0
1035,45100,1,2
1036,45101,0,0
1037,45102,2,2
1038,45103,0,0
1039,45104,0,0
1040,45105,0,0
1041,45106,0,0
1042,45107,0,0
1043,45108,1,0
1044,45109,1,1
1045,45110,2,2
1046,45111,1,2
1047,45112,2,2
1048,45113,0,0
1049,45114,0,0
1050,45115,0,0
1051,45116,0,0
1052,45117,0,2
1053,45118,0,0
1054,45119,0,0
1055,45120,0,0
1056,45121,0,0
1057,45122,2,2
1058,45123,1,0
1059,45124,0,0
1060,45125,2,2
1061,45126,1,1
1062,45127,0,0
1063,45128,0,0
1064,45129,2,2
1065,45130,1,0
1066,45131,0,0
1067,45132,0,0
1068,45133,0,0
1069,45134,0,0
1070,45135,0,0
1071,45136,0,0
1072,45137,0,0
1073,45138,0,0
1074,45139,1,0
1075,45140,1,1
1076,45141,2,2
1077,45142,0,0
1078,45143,0,0
1079,45144,2,2
1080,45145,0,0
1081,45146,1,1
1082,45147,0,0
1083,45148,0,2
1084,45149,1,1
1085,45150,0,0
1086,45151,0,0
1087,45152,0,0
1088,45153,0,0
1089,45154,1,0
1090,45155,1,0
1091,45156,0,2
1092,45157,0,0
1093,45158,1,0
1094,45159,1,0
1095,45160,1,0
1096,45161,0,2
1097,45162,0,0
1098,45163,1,2
1099,45164,0,0
1100,45165,1,0
1101,45166,0,0
1102,45167,2,2
1103,45168,0,0
1104,45169,1,0
1105,45170,2,2
1106,45171,0,2
1107,45172,1,2
1108,45173,0,0
1109,45174,0,0
1110,45175,2,2
1111,45176,0,0
1112,45177,1,0
1113,45178,2,2
1114,45179,0,2
1115,45180,1,0
1116,45181,1,0
1117,45182,1,0
1118,45183,1,2
1119,45184,1,2
1120,45185,1,0
1121,45186,1,0
1122,45187,1,0
1123,45188,1,0
1124,45189,0,0
1125,45190,0,0
1126,45191,0,2
1127,45192,1,1
1128,45193,0,0
1129,45194,2,2
1130,45195,0,0
1131,45196,0,0
1132,45197,1,0
1133,45198,1,1
1134,45199,1,1
1135,45200,1,0
1136,45201,0,0
1137,45202,0,0
1138,45203,1,0
1139,45204,0,2
1140,45205,1,0
1141,45206,1,0
1142,45207,0,0
1143,45208,0,0
1144,45209,0,0
1145,45210,2,2
1146,45211,0,0
1147,45212,0,0
1148,45213,0,2
1149,45214,1,1
1150,45215,0,0
1151,45216,2,2
1152,45217,0,0
1153,45218,0,0
1154,45219,0,0
1155,45220,0,0
1156,45221,0,0
1157,45222,0,2
1158,45223,0,0
1159,45224,0,0
1160,45225,0,2
1161,45226,0,2
1162,45227,0,2
1163,45228,1,0
1164,45229,1,0
1165,45230,2,2
1166,45231,0,0
1167,45232,0,0
1168,45233,0,0
1169,45234,1,2
1170,45235,1,0
1171,45236,0,0
1172,45237,2,2
1173,45238,0,0
1174,45239,1,2
1175,45240,0,0
1176,45241,0,0
1177,45242,0,0
1178,45243,1,2
1179,45244,0,0
1180,45245,0,0
1181,45246,2,2
1182,45247,1,2
1183,45248,0,0
1184,45249,1,0
1185,45250,1,0
1186,45251,1,2
1187,45252,0,0
1188,45253,2,2
1189,45254,2,2
1190,45255,0,0
1191,45256,0,2
1192,45257,0,0
1193,45258,1,2
1194,45259,0,0
1195,45260,0,0
1196,45261,0,0
1197,45262,0,0
1198,45263,1,2
1199,45264,0,0
1200,45265,0,2
1201,45345,1,0
1202,45346,0,0
1203,45347,1,2
1204,45348,0,0
1205,45349,2,2
1206,45350,0,0
1207,45351,1,1
1208,45352,1,0
1209,45353,1,0
1210,45354,1,2
1211,45355,1,0
1212,45356,2,2
1213,45357,1,0
1214,45358,0,0
1215,45359,0,0
1216,45360,1,0
1217,45361,0,0
1218,45362,1,1
1219,45363,0,0
1220,45364,1,0
1221,45365,1,0
1222,45366,1,2
1223,45367,2,2
1224,45368,1,2
1225,45369,1,1
1226,45370,1,1
1227,45371,1,0
1228,45372,1,1
1229,45373,1,0
1230,45374,0,0
1231,45375,0,0
1232,45376,0,0
1233,45377,1,0
1234,45378,0,0
1235,45379,0,0
1236,45380,1,2
1237,45381,0,0
1238,45382,1,0
1239,45383,1,2
1240,45384,1,2
1241,45385,1,2
1242,45386,0,0
1243,45387,0,0
1244,45388,0,0
1245,45389,0,0
1246,45390,0,0
1247,45391,0,0
1248,45392,0,0
1249,45393,0,0
1250,45394,1,0
1251,45395,0,0
1252,45396,0,0
1253,45397,1,1
1254,45398,1,0
1255,45399,0,0
1256,45400,1,0
1257,45401,1,0
1258,45402,0,0
1259,45403,0,0
1260,45404,0,0
1261,45405,0,0
1262,45406,1,0
1263,45407,1,0
1264,45408,1,0
1265,45409,0,0
1266,45410,1,0
1267,45411,0,0
1268,45412,0,0
1269,45413,0,0
1270,45414,1,2
1271,45415,1,0
1272,45416,0,0
1273,45417,1,0
1274,45418,1,1
1275,45419,0,0
1276,45420,0,0
1277,45421,0,0
1278,45422,0,0
1279,45423,0,0
1280,45424,1,0
1281,45425,1,1
1282,45426,0,0
1283,45427,1,0
1284,45428,0,0
1285,45429,0,0
1286,45430,0,0
1287,45431,1,0
1288,45432,1,1
1289,45433,1,1
1290,45434,0,0
1291,45435,2,2
1292,45436,0,0
1293,45437,0,0
1294,45438,1,0
1295,45439,2,2
1296,45440,2,2
1297,45441,0,0
1298,45442,1,0
1299,45443,0,0
1300,45444,2,2
1301,45445,2,2
1302,45446,0,0
1303,45447,0,0
1304,45448,1,2
1305,45449,0,0
1306,45450,1,0
1307,45451,0,0
1308,45452,0,0
1309,45453,1,1
1310,45454,0,0
1311,45455,1,0
1312,45456,0,0
1313,45457,1,0
1314,45458,0,0
1315,45459,0,0
1316,45460,2,2
1317,45461,0,0
1318,45462,0,0
1319,45463,2,2
1320,45464,0,0
1321,45465,0,2
1322,45466,0,0
1323,45467,2,2
1324,45468,0,0
1325,45469,0,0
1326,45470,0,0
1327,45471,1,0
1328,45472,2,2
1329,45473,0,0
1330,45474,0,0
1331,45475,0,0
1332,45476,0,0
1333,45477,1,0
1334,45478,0,0
1335,45479,2,2
1336,45480,0,0
1337,45481,0,0
1338,45482,1,1
1339,45483,2,2
1340,45484,1,0
1341,45485,2,2
1342,45486,1,2
1343,45487,0,0
1344,45488,0,0
1345,45489,2,2
1346,45490,1,0
1347,45491,0,0
1348,45492,1,2
1349,45493,1,2
1350,45494,0,0
1351,45495,2,2
1352,45496,1,0
1353,45497,1,0
1354,45498,0,0
1355,45499,1,0
1356,45500,0,0
1357,45501,1,0
1358,45502,1,0
1359,45503,0,0
1360,45504,1,2
1361,45505,0,0
1362,45506,0,0
1363,45507,0,0
1364,45508,1,0
1365,45509,1,0
1366,45510,0,0
1367,45511,1,1
1368,45512,0,0
1369,45513,0,0
1370,45514,0,0
1371,45515,0,0
1372,45580,2,2
1373,45581,0,0
1374,45582,0,0
1375,45583,0,0
1376,45584,2,2
1377,45585,2,2
1378,45586,1,0
1379,45587,1,0
1380,45588,0,0
1381,45589,0,0
1382,45590,1,0
1383,45591,2,2
1384,45592,0,0
1385,45593,2,2
1386,45594,0,0
1387,45595,1,0
1388,45596,2,2
1389,45597,1,2
1390,45598,1,2
1391,45599,0,0
1392,45600,0,0
1393,45601,0,2
1394,45602,1,0
1395,45603,0,0
1396,45604,1,0
1397,45605,0,0
1398,45606,0,0
1399,45607,2,2
1400,45608,2,2
1401,45609,1,0
1402,45610,0,0
1403,45611,0,0
1404,45612,1,0
1405,45613,0,0
1406,45614,0,0
1407,45615,0,2
1408,45616,1,0
1409,45617,2,2
1410,45618,1,0
1411,45619,0,0
1412,45620,0,0
1413,45621,0,2
1414,45622,1,1
1415,45623,1,0
1416,45624,2,2
1417,45625,0,0
1418,45626,2,2
1419,45627,1,2
1420,45628,2,2
1421,45629,0,2
1422,45630,0,0
1423,45631,2,2
1424,45632,1,0
1425,45633,0,0
1426,45634,1,0
1427,45635,0,0
1428,45636,0,0
1429,45637,1,0
1430,45638,1,2
1431,45639,0,0
1432,45640,2,2
1433,45641,1,0
1434,45642,0,0
1435,45643,1,1
1436,45644,1,0
1437,45645,1,0
1438,45646,2,2
1439,45647,0,0
1440,45648,0,0
1441,45649,0,0
1442,45650,1,0
1443,45651,1,0
1444,45652,2,2
1445,45653,0,0
1446,45654,1,1
1447,45655,2,2
1448,45656,0,0
1449,45657,0,0
1450,45658,2,2
1451,45659,0,0
1452,45660,2,2
1453,45661,2,2
1454,45662,0,0
1455,45663,0,0
1456,45664,1,0
1457,45665,0,0
1458,45666,1,2
1459,45667,0,0
1460,45668,0,0
1461,45669,1,0
1462,45670,0,0
1463,45671,1,0
1464,45672,1,2
1465,45673,0,0
1466,45674,0,0
1467,45675,2,2
1468,45676,0,0
1469,45677,2,2
1470,45678,2,2
1471,45679,0,0
1472,45680,1,0
1473,45681,0,0
1474,45682,0,0
1475,45683,1,0
1476,45684,1,0
1477,45685,2,2
1478,45686,0,0
1479,45687,0,0
1480,45688,1,2
1481,45689,0,0
1482,45690,0,0
1483,45691,0,0
1484,45692,2,2
1485,45693,1,0
1486,45694,2,2
1487,45695,2,2
1488,45696,2,2
1489,45697,1,0
1490,45698,1,2
1491,45699,1,2
1492,45700,0,0
