SalesOrderNumber,SalesAmount,MonthNum,WeekdayNum,Loyalty in Years,YearlyIncome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,Max CommuteDistance,MaritalStatus,NumberChildrenAtHome,TotalChildren,Gender
SO43739,3578.27 €,1,7,8,50000,Graduate Degree,Skilled Manual,0,0,1,M,0,0,M
SO43740,3578.27 €,1,7,8,20000,Bachelors,Clerical,1,0,1,S,0,0,M
SO43741,3578.27 €,1,1,8,70000,Graduate Degree,Management,0,2,2,S,0,3,M
SO43742,3578.27 €,1,1,8,160000,Bachelors,Management,0,3,1,S,4,3,F
SO43743,3399.99 €,1,1,8,60000,Bachelors,Professional,1,2,1,M,3,3,M
SO43744,3578.27 €,1,1,8,90000,Bachelors,Professional,1,4,11,S,0,0,F
SO43745,3578.27 €,1,2,8,10000,Partial College,Manual,1,1,2,S,0,0,M
SO43746,3578.27 €,1,2,8,90000,Bachelors,Professional,0,2,11,S,0,0,M
SO43747,3578.27 €,1,3,8,80000,Partial College,Professional,0,1,1,S,0,3,M
SO43748,3578.27 €,1,3,8,90000,Partial College,Professional,0,0,11,S,1,2,F
SO43749,3578.27 €,1,3,8,100000,Partial College,Professional,1,3,10,M,2,1,F
SO43750,3578.27 €,1,3,8,30000,Partial College,Clerical,1,0,1,S,3,3,F
SO43751,3578.27 €,1,3,8,20000,High School,Manual,0,1,5,S,0,0,M
SO43752,3578.27 €,1,3,8,120000,High School,Professional,1,4,10,S,4,3,M
SO43753,3578.27 €,1,3,8,30000,Partial College,Clerical,0,2,10,M,0,3,F
SO43754,3578.27 €,1,4,8,90000,Partial College,Professional,0,1,10,S,0,0,F
SO43755,3578.27 €,1,4,8,70000,Graduate Degree,Management,0,2,2,S,0,3,F
SO43756,699.10 €,1,4,8,160000,High School,Management,0,4,1,S,5,3,M
SO43757,3374.99 €,1,4,8,20000,High School,Skilled Manual,1,2,10,S,0,4,F
SO43758,3578.27 €,1,5,8,130000,Bachelors,Management,0,2,5,S,3,1,M
SO43759,3578.27 €,1,5,8,130000,Partial College,Professional,1,2,1,M,4,2,M
SO43760,3578.27 €,1,5,8,80000,Partial College,Skilled Manual,1,2,10,S,0,2,F
SO43761,3578.27 €,1,5,8,40000,Partial College,Skilled Manual,1,2,10,M,0,3,F
SO43762,3578.27 €,1,6,8,60000,Bachelors,Professional,1,1,5,M,0,1,F
SO43763,3578.27 €,1,6,8,20000,Bachelors,Clerical,0,0,1,M,0,0,F
SO43764,3578.27 €,1,6,8,90000,Bachelors,Professional,0,2,11,S,0,0,F
SO43765,3399.99 €,1,6,8,70000,Bachelors,Professional,0,1,10,S,0,0,F
SO43766,3578.27 €,1,7,8,10000,High School,Manual,0,0,2,S,1,1,F
SO43767,3374.99 €,1,7,8,60000,Bachelors,Professional,0,1,1,S,3,3,M
SO43768,3578.27 €,1,1,8,60000,High School,Professional,0,2,2,M,0,2,M
SO43769,3578.27 €,1,1,8,60000,Graduate Degree,Professional,1,0,5,M,2,3,F
SO43770,3578.27 €,1,1,8,60000,High School,Professional,0,2,2,M,0,2,M
SO43771,699.10 €,1,1,8,50000,Bachelors,Skilled Manual,1,0,5,M,1,1,F
SO43772,3578.27 €,1,1,8,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO43773,3578.27 €,1,1,8,20000,Bachelors,Clerical,1,0,1,S,0,0,M
SO43774,3578.27 €,1,1,8,80000,Partial College,Skilled Manual,1,2,10,M,0,2,M
SO43775,3399.99 €,1,1,8,30000,Partial College,Clerical,1,2,10,M,0,2,M
SO43776,3578.27 €,1,2,8,130000,Partial College,Professional,1,2,1,M,4,3,M
SO43777,3578.27 €,1,2,8,10000,Partial College,Manual,0,1,1,M,0,0,M
SO43778,3399.99 €,1,2,8,30000,Partial College,Clerical,1,2,10,S,0,2,M
SO43779,699.10 €,1,2,8,80000,Partial College,Skilled Manual,0,1,1,S,0,1,M
SO43780,3578.27 €,1,3,8,20000,High School,Manual,0,1,2,S,0,0,F
SO43781,3578.27 €,1,3,8,80000,Partial College,Skilled Manual,0,2,2,S,0,2,F
SO43782,3578.27 €,1,3,8,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO43783,3578.27 €,1,3,8,90000,Bachelors,Professional,1,3,11,M,0,0,M
SO43784,3578.27 €,1,4,8,70000,High School,Professional,0,1,2,M,1,3,F
SO43785,3578.27 €,1,4,8,30000,Partial College,Clerical,1,1,5,S,0,0,M
SO43786,3578.27 €,1,4,8,20000,High School,Manual,1,1,5,S,0,0,M
SO43787,3399.99 €,1,4,8,20000,High School,Manual,0,1,1,S,4,4,M
SO43788,3374.99 €,1,4,8,130000,Partial College,Professional,0,2,10,M,4,2,F
SO43789,3374.99 €,1,4,8,40000,High School,Professional,1,3,11,M,0,5,M
SO43790,3399.99 €,1,4,8,30000,Partial High School,Clerical,0,2,11,S,0,5,F
SO43791,3578.27 €,1,4,8,40000,Partial College,Clerical,0,2,10,M,0,2,M
SO43792,3578.27 €,1,4,8,150000,Bachelors,Professional,1,4,1,S,5,5,M
SO43793,3399.99 €,1,4,8,90000,Bachelors,Professional,1,0,2,M,0,2,M
SO43794,3399.99 €,1,4,8,30000,Partial College,Clerical,1,2,2,M,0,2,M
SO43795,3578.27 €,1,5,8,120000,Bachelors,Management,1,4,5,M,2,3,F
SO43796,699.10 €,1,5,8,30000,Bachelors,Clerical,1,0,1,S,0,0,M
SO43797,3578.27 €,1,5,8,40000,Partial College,Skilled Manual,1,2,10,M,0,3,M
SO43798,3578.27 €,1,5,8,10000,High School,Manual,0,0,5,S,1,1,F
SO43799,3578.27 €,1,5,8,110000,High School,Management,1,4,11,M,5,0,M
SO43800,3578.27 €,1,6,8,40000,Partial College,Clerical,1,1,2,M,0,2,F
SO43801,3578.27 €,1,6,8,90000,High School,Professional,1,2,11,S,1,3,M
SO43802,3578.27 €,1,6,8,20000,High School,Manual,1,1,5,S,0,0,M
SO43803,3578.27 €,1,7,8,70000,Partial College,Professional,1,2,10,M,0,3,F
SO43804,3578.27 €,1,7,8,80000,Partial College,Professional,0,1,5,M,2,4,F
SO43805,699.10 €,1,7,8,100000,Bachelors,Management,1,2,2,S,0,2,M
SO43806,3578.27 €,1,7,8,20000,Bachelors,Clerical,1,0,1,M,0,0,F
SO43807,3578.27 €,1,1,8,20000,Partial High School,Manual,0,1,5,M,0,0,M
SO43808,3578.27 €,1,1,8,130000,Partial College,Professional,0,2,10,M,4,2,M
SO43809,3578.27 €,1,1,8,80000,Partial College,Skilled Manual,1,2,10,S,0,2,M
SO43810,3399.99 €,1,1,8,80000,Bachelors,Professional,1,4,2,S,5,5,F
SO43811,3399.99 €,1,1,8,30000,Partial College,Clerical,0,2,2,S,0,2,M
SO43812,3578.27 €,1,2,8,110000,Partial College,Professional,1,4,10,S,3,5,F
SO43813,3374.99 €,1,2,8,20000,High School,Manual,0,1,1,S,3,3,M
SO43814,3374.99 €,1,2,8,40000,High School,Professional,1,4,11,M,0,5,M
SO43815,3578.27 €,1,2,8,80000,Partial College,Skilled Manual,0,2,2,S,0,2,F
SO43816,3578.27 €,1,2,8,80000,Partial College,Skilled Manual,1,2,10,S,0,2,F
SO43817,3578.27 €,1,2,8,10000,High School,Manual,0,0,5,S,1,1,F
SO43818,3578.27 €,1,2,8,20000,Bachelors,Clerical,1,0,1,S,0,0,F
SO43819,3399.99 €,1,2,8,70000,Bachelors,Professional,1,1,10,S,0,0,F
SO43820,3578.27 €,1,3,8,90000,High School,Professional,1,1,11,M,1,2,M
SO43821,3578.27 €,1,3,8,170000,Graduate Degree,Management,0,2,1,S,1,1,M
SO43822,3578.27 €,1,3,8,70000,Graduate Degree,Management,1,2,10,M,0,3,F
SO43823,699.10 €,1,3,8,170000,Partial College,Management,0,4,1,S,5,5,M
SO43824,699.10 €,1,3,8,50000,Bachelors,Skilled Manual,1,0,5,M,1,1,F
SO43825,3578.27 €,1,3,8,80000,Partial College,Skilled Manual,0,2,2,S,0,2,M
SO43826,3374.99 €,1,3,8,60000,Bachelors,Professional,1,3,11,S,4,4,F
SO43827,699.10 €,1,3,8,70000,Partial College,Skilled Manual,0,1,1,S,0,1,M
SO43828,3578.27 €,1,4,8,60000,High School,Professional,1,2,10,M,0,2,M
SO43829,3578.27 €,1,4,8,60000,High School,Professional,1,2,10,M,0,2,M
SO43830,3578.27 €,1,4,8,70000,Graduate Degree,Management,1,2,2,M,0,2,M
SO43831,3374.99 €,1,4,8,30000,Partial College,Clerical,1,2,2,M,0,2,F
SO43832,3578.27 €,1,4,8,70000,High School,Professional,1,1,11,S,3,4,M
SO43833,3578.27 €,1,5,8,40000,Graduate Degree,Skilled Manual,1,0,2,M,0,0,F
SO43834,3374.99 €,1,5,8,40000,Bachelors,Professional,1,0,1,S,0,0,M
SO43835,3374.99 €,1,5,8,30000,High School,Professional,0,2,2,S,0,0,F
SO43836,699.10 €,1,5,8,50000,Partial College,Skilled Manual,0,1,1,S,0,0,F
SO43837,3374.99 €,1,5,8,70000,Bachelors,Professional,0,1,10,S,0,0,M
SO43838,3578.27 €,1,6,8,120000,Partial College,Professional,1,4,10,S,3,1,F
SO43839,3578.27 €,1,6,8,60000,Graduate Degree,Management,1,2,10,S,0,3,F
SO43840,699.10 €,1,6,8,30000,Bachelors,Clerical,1,0,1,S,0,0,F
SO43841,3578.27 €,1,6,8,130000,Partial College,Professional,1,2,10,M,4,2,M
SO43842,3578.27 €,1,6,8,110000,High School,Management,1,4,11,M,5,0,M
SO43918,3578.27 €,2,7,8,60000,Partial College,Skilled Manual,0,1,10,S,0,0,F
SO43919,3578.27 €,2,7,8,110000,Partial College,Professional,1,3,10,S,4,2,F
SO43920,3578.27 €,2,7,8,80000,Graduate Degree,Professional,1,0,1,M,0,2,M
SO43921,3578.27 €,2,7,8,40000,Bachelors,Management,1,2,1,M,0,2,F
SO43922,3578.27 €,2,7,8,30000,Bachelors,Clerical,1,0,1,M,0,0,M
SO43923,3578.27 €,2,1,8,30000,Partial High School,Skilled Manual,1,3,11,S,1,2,F
SO43924,3578.27 €,2,1,8,110000,Partial College,Professional,1,4,10,M,4,3,F
SO43925,3578.27 €,2,1,8,70000,High School,Skilled Manual,1,2,10,S,0,2,M
SO43926,3374.99 €,2,2,8,40000,Partial College,Skilled Manual,1,2,10,M,0,2,M
SO43927,3578.27 €,2,2,8,70000,High School,Professional,0,2,2,S,0,2,F
SO43928,3578.27 €,2,2,8,40000,Bachelors,Management,0,2,1,M,0,2,M
SO43929,699.10 €,2,2,8,40000,Bachelors,Management,0,2,1,M,0,2,F
SO43930,3578.27 €,2,3,8,70000,Partial College,Professional,1,2,11,M,1,2,M
SO43931,3578.27 €,2,3,8,30000,Bachelors,Clerical,1,0,1,M,0,0,F
SO43932,3578.27 €,2,3,8,40000,Bachelors,Management,0,2,1,M,0,2,M
SO43933,3399.99 €,2,3,8,20000,High School,Skilled Manual,1,2,2,M,0,4,F
SO43934,3399.99 €,2,3,8,20000,High School,Skilled Manual,1,2,10,M,0,4,F
SO43935,699.10 €,2,4,8,30000,High School,Manual,0,1,2,S,0,0,F
SO43936,3578.27 €,2,4,8,70000,Graduate Degree,Professional,0,0,1,S,0,5,F
SO43937,3578.27 €,2,4,8,90000,Graduate Degree,Management,1,0,1,M,0,1,F
SO43938,3578.27 €,2,4,8,60000,Bachelors,Professional,1,1,10,M,0,1,F
SO43939,3578.27 €,2,4,8,80000,High School,Skilled Manual,1,2,10,S,0,2,F
SO43940,699.10 €,2,4,8,130000,Partial High School,Management,1,4,1,S,5,0,F
SO43941,3578.27 €,2,5,8,170000,Partial College,Professional,0,4,11,M,5,4,F
SO43942,3578.27 €,2,5,8,60000,Bachelors,Professional,1,1,1,M,2,2,F
SO43943,699.10 €,2,5,8,50000,Bachelors,Skilled Manual,1,0,5,S,2,2,F
SO43944,3399.99 €,2,5,8,40000,Partial College,Skilled Manual,1,2,10,M,0,2,F
SO43945,3578.27 €,2,5,8,160000,Graduate Degree,Management,0,3,1,S,0,0,F
SO43946,3578.27 €,2,5,8,60000,Partial College,Skilled Manual,0,1,1,S,0,1,M
SO43947,3578.27 €,2,5,8,70000,Partial College,Skilled Manual,0,1,1,S,0,1,F
SO43948,3399.99 €,2,5,8,30000,High School,Skilled Manual,0,2,2,M,0,3,F
SO43949,3578.27 €,2,6,8,30000,High School,Skilled Manual,0,2,1,S,0,0,F
SO43950,3578.27 €,2,6,8,30000,Partial High School,Clerical,0,2,11,S,0,5,F
SO43951,3578.27 €,2,6,8,70000,Bachelors,Professional,0,1,1,S,0,0,F
SO43952,3578.27 €,2,6,8,110000,Partial High School,Professional,1,4,11,S,5,0,F
SO43953,699.10 €,2,7,8,10000,Partial High School,Manual,0,2,2,S,0,0,F
SO43954,3578.27 €,2,7,8,110000,Partial College,Management,1,2,11,M,5,4,F
SO43955,3578.27 €,2,7,8,40000,Bachelors,Skilled Manual,1,0,2,M,1,1,M
SO43956,3399.99 €,2,7,8,10000,Partial High School,Clerical,1,2,2,M,1,2,F
SO43957,3578.27 €,2,1,8,80000,Graduate Degree,Professional,0,0,1,S,0,3,F
SO43958,3578.27 €,2,1,8,80000,High School,Skilled Manual,1,2,10,S,0,2,F
SO43959,3374.99 €,2,1,8,10000,Partial High School,Clerical,1,2,2,M,1,2,F
SO43960,3374.99 €,2,1,8,30000,High School,Skilled Manual,1,2,10,M,0,3,F
SO43961,3578.27 €,2,2,8,70000,Bachelors,Management,0,1,5,S,1,2,F
SO43962,3578.27 €,2,2,8,110000,Graduate Degree,Management,0,2,2,S,1,0,M
SO43963,3578.27 €,2,2,8,60000,Bachelors,Professional,1,1,10,S,0,1,F
SO43964,3578.27 €,2,2,8,60000,Graduate Degree,Management,0,1,1,S,0,2,F
SO43965,3374.99 €,2,2,8,10000,Partial High School,Clerical,1,2,10,M,1,2,F
SO43966,3399.99 €,2,2,8,30000,Partial College,Clerical,1,2,10,M,0,3,M
SO43967,3578.27 €,2,3,8,60000,Partial College,Professional,0,2,5,M,1,2,M
SO43968,3578.27 €,2,3,8,80000,Graduate Degree,Professional,1,0,1,M,0,3,F
SO43969,3578.27 €,2,3,8,80000,Bachelors,Management,0,1,1,M,0,0,M
SO43970,3578.27 €,2,3,8,60000,Bachelors,Professional,1,1,1,M,0,1,M
SO43971,3578.27 €,2,3,8,80000,High School,Skilled Manual,0,2,2,M,0,2,M
SO43972,3578.27 €,2,4,8,70000,Graduate Degree,Professional,1,1,5,M,0,2,M
SO43973,3578.27 €,2,4,8,60000,Bachelors,Management,0,0,5,S,1,2,M
SO43974,3578.27 €,2,4,8,40000,Bachelors,Skilled Manual,1,1,1,M,1,1,M
SO43975,3578.27 €,2,4,8,40000,Graduate Degree,Clerical,1,0,1,M,0,3,F
SO43976,3578.27 €,2,4,8,70000,Graduate Degree,Professional,1,0,5,M,0,4,F
SO43977,3578.27 €,2,4,8,60000,Partial College,Skilled Manual,1,1,10,M,0,1,F
SO43978,3578.27 €,2,5,8,70000,Bachelors,Management,0,1,5,S,1,2,M
SO43979,699.10 €,2,5,8,60000,Bachelors,Skilled Manual,0,0,1,S,2,2,F
SO43980,3374.99 €,2,5,8,30000,High School,Skilled Manual,1,2,10,M,0,3,M
SO43981,3578.27 €,2,5,8,130000,Graduate Degree,Management,1,1,10,M,1,0,F
SO43982,699.10 €,2,5,8,40000,Bachelors,Management,0,2,1,S,0,2,M
SO43983,3578.27 €,2,6,8,30000,Partial High School,Clerical,0,3,2,S,0,5,M
SO43984,3578.27 €,2,6,8,30000,Bachelors,Clerical,1,0,1,M,0,0,M
SO43985,3578.27 €,2,6,8,20000,Partial College,Manual,1,0,1,M,0,1,F
SO43986,3578.27 €,2,6,8,80000,Bachelors,Management,1,1,2,S,0,0,M
SO43987,3578.27 €,2,7,8,60000,Bachelors,Management,0,0,5,S,1,2,M
SO43988,3399.99 €,2,7,8,170000,Bachelors,Management,0,3,1,S,3,2,F
SO43989,3578.27 €,2,7,8,110000,Graduate Degree,Management,1,3,2,M,1,2,F
SO43990,3399.99 €,2,7,8,70000,Bachelors,Management,0,1,5,S,1,2,F
SO43991,3578.27 €,2,7,8,70000,High School,Skilled Manual,0,2,2,S,0,2,M
SO43992,3578.27 €,2,7,8,110000,Partial High School,Professional,1,4,11,M,5,0,M
SO43993,3578.27 €,2,2,8,30000,Partial College,Clerical,0,2,10,M,0,2,F
SO43994,3578.27 €,2,3,8,40000,Partial College,Professional,0,2,2,M,0,4,F
SO43995,3578.27 €,2,3,8,60000,High School,Professional,0,2,5,M,1,2,M
SO43996,3578.27 €,2,3,8,70000,Partial College,Skilled Manual,1,2,10,S,0,0,F
SO43997,3578.27 €,2,3,8,40000,High School,Professional,1,3,11,S,0,5,M
SO43998,3374.99 €,2,3,8,20000,High School,Skilled Manual,1,2,10,M,0,4,M
SO43999,3578.27 €,2,3,8,60000,Partial College,Professional,0,2,5,S,1,2,M
SO44000,3578.27 €,2,4,8,70000,Partial College,Skilled Manual,1,2,10,M,0,0,F
SO44001,3578.27 €,2,4,8,60000,Bachelors,Management,0,0,5,S,1,2,M
SO44002,699.10 €,2,4,8,70000,Graduate Degree,Professional,1,0,5,M,0,3,F
SO44003,699.10 €,2,4,8,40000,Bachelors,Clerical,1,0,1,M,0,0,F
SO44004,3578.27 €,2,4,8,70000,Graduate Degree,Professional,0,0,1,S,0,4,M
SO44005,699.10 €,2,4,8,60000,Partial College,Skilled Manual,1,1,1,M,0,1,F
SO44006,3578.27 €,2,4,8,40000,Bachelors,Management,1,2,1,M,0,2,F
SO44007,699.10 €,2,4,8,10000,Partial College,Manual,0,1,1,M,0,0,F
SO44008,3578.27 €,2,5,8,40000,Partial College,Professional,0,2,2,S,0,3,M
SO44009,3578.27 €,2,5,8,50000,Bachelors,Skilled Manual,0,3,11,S,3,3,F
SO44010,3578.27 €,2,5,8,40000,Bachelors,Skilled Manual,1,0,2,M,1,1,F
SO44011,3578.27 €,2,5,8,10000,Partial College,Manual,1,1,2,S,0,3,F
SO44012,3374.99 €,2,5,8,40000,Partial College,Clerical,0,2,10,S,0,2,F
SO44013,3578.27 €,2,5,8,30000,Partial College,Clerical,1,2,10,S,0,2,M
SO44014,3578.27 €,2,6,8,60000,Partial College,Skilled Manual,1,1,10,S,0,0,F
SO44015,3578.27 €,2,6,8,20000,Partial High School,Manual,0,2,2,S,0,0,M
SO44016,3374.99 €,2,6,8,130000,Partial College,Professional,0,3,1,S,4,3,F
SO44017,3578.27 €,2,6,8,80000,Bachelors,Management,1,0,2,S,3,4,M
SO44018,3374.99 €,2,6,8,60000,Partial College,Professional,1,1,5,M,1,2,M
SO44019,3578.27 €,2,6,8,70000,Bachelors,Professional,0,2,1,S,0,0,F
SO44020,3578.27 €,2,6,8,30000,Partial College,Clerical,1,2,10,S,0,3,M
SO44021,3374.99 €,2,6,8,20000,High School,Skilled Manual,1,2,2,M,0,4,F
SO44022,3578.27 €,2,7,8,40000,High School,Skilled Manual,0,1,1,S,0,0,F
SO44023,3374.99 €,2,7,8,70000,Bachelors,Professional,1,1,5,S,0,1,F
SO44024,3578.27 €,2,7,8,70000,High School,Professional,0,2,2,S,0,2,F
SO44025,3578.27 €,2,7,8,90000,Bachelors,Management,0,1,10,S,0,2,F
SO44026,3578.27 €,2,7,8,90000,Graduate Degree,Management,1,0,1,S,0,1,M
SO44027,3578.27 €,2,1,8,60000,Partial College,Skilled Manual,1,1,1,M,0,1,M
SO44028,3578.27 €,2,1,8,90000,Graduate Degree,Management,1,0,1,S,0,1,F
SO44029,3374.99 €,2,1,8,30000,High School,Skilled Manual,1,2,10,M,0,3,M
SO44030,3578.27 €,2,2,8,90000,High School,Professional,0,2,5,M,1,2,M
SO44031,3578.27 €,2,2,8,50000,Graduate Degree,Skilled Manual,0,0,1,S,0,0,F
SO44032,3399.99 €,2,2,8,150000,Partial College,Professional,1,3,1,M,3,2,F
SO44033,3578.27 €,2,2,8,60000,Partial College,Skilled Manual,1,1,1,M,0,1,M
SO44034,3578.27 €,2,2,8,60000,Partial College,Skilled Manual,1,1,1,M,0,1,F
SO44035,3578.27 €,2,2,8,90000,Bachelors,Professional,1,1,5,S,0,2,M
SO44036,3578.27 €,2,2,8,90000,Graduate Degree,Management,1,0,1,M,0,1,M
SO44037,699.10 €,2,2,8,60000,Graduate Degree,Management,0,1,2,S,0,2,M
SO44038,3399.99 €,2,2,8,70000,Bachelors,Management,1,3,11,M,0,5,F
SO44039,699.10 €,2,3,8,10000,High School,Manual,1,1,1,S,2,2,F
SO44040,3374.99 €,2,3,8,70000,Graduate Degree,Management,1,2,2,M,0,2,M
SO44041,3578.27 €,2,3,8,40000,Bachelors,Management,0,2,1,M,0,2,M
SO44042,3578.27 €,2,4,8,40000,Bachelors,Skilled Manual,1,0,1,M,1,1,M
SO44043,3578.27 €,2,4,8,40000,Bachelors,Skilled Manual,1,0,1,M,1,1,F
SO44044,3578.27 €,2,4,8,20000,Partial High School,Manual,0,2,2,S,0,0,F
SO44045,3399.99 €,2,4,8,40000,Bachelors,Professional,0,0,1,M,0,0,F
SO44046,3578.27 €,2,4,8,70000,Graduate Degree,Professional,1,0,5,S,0,5,F
SO44047,3399.99 €,2,4,8,60000,Bachelors,Management,0,0,5,S,1,2,F
SO44048,3578.27 €,2,4,8,40000,Bachelors,Management,1,1,1,M,0,2,M
SO44049,3578.27 €,2,5,8,20000,Partial College,Manual,1,1,2,S,0,2,F
SO44050,3578.27 €,2,5,8,80000,Graduate Degree,Management,1,1,1,M,4,4,F
SO44051,3578.27 €,2,6,8,40000,Partial College,Clerical,1,0,2,S,2,2,F
SO44052,3578.27 €,2,6,8,110000,High School,Management,1,4,11,M,5,0,M
SO44053,699.10 €,2,6,8,20000,High School,Manual,1,0,1,S,2,2,F
SO44054,3578.27 €,2,6,8,30000,Bachelors,Clerical,1,0,1,M,0,1,F
SO44055,3578.27 €,2,6,8,30000,Bachelors,Clerical,1,0,1,S,0,1,M
SO44056,3578.27 €,2,6,8,50000,Graduate Degree,Skilled Manual,1,0,1,S,0,0,F
SO44057,699.10 €,2,6,8,60000,Bachelors,Skilled Manual,1,0,5,S,2,2,F
SO44058,3374.99 €,2,6,8,40000,Partial College,Skilled Manual,1,2,10,M,0,3,F
SO44059,3578.27 €,2,6,8,60000,Partial College,Skilled Manual,0,1,1,S,0,1,F
SO44060,699.10 €,2,6,8,60000,Graduate Degree,Management,0,1,2,M,0,2,M
SO44061,3578.27 €,2,6,8,70000,Partial College,Skilled Manual,1,2,10,S,0,0,M
SO44062,3578.27 €,2,6,8,60000,Partial College,Professional,0,2,5,S,1,2,F
SO44063,3399.99 €,2,6,8,160000,Partial College,Professional,1,4,10,M,3,2,F
SO44064,3578.27 €,2,6,8,90000,Bachelors,Management,1,1,2,S,4,4,M
SO44065,3578.27 €,2,6,8,70000,Graduate Degree,Professional,1,0,5,S,0,4,M
SO44066,3399.99 €,2,6,8,70000,Bachelors,Management,1,3,11,S,0,5,M
SO44067,3578.27 €,2,6,8,100000,Graduate Degree,Management,0,0,1,M,0,1,F
SO44068,3578.27 €,2,6,8,40000,Graduate Degree,Clerical,1,0,1,M,0,3,F
SO44069,3374.99 €,2,6,8,40000,Bachelors,Professional,0,0,1,S,0,0,M
SO44070,3374.99 €,2,6,8,60000,Graduate Degree,Professional,0,0,1,S,2,3,M
SO44071,3578.27 €,2,6,8,110000,Graduate Degree,Management,0,2,2,S,0,0,F
SO44072,3578.27 €,2,6,8,80000,High School,Skilled Manual,0,2,2,M,0,2,M
SO44073,3374.99 €,2,6,8,20000,Partial High School,Clerical,1,2,2,M,1,2,M
SO44134,3578.27 €,3,7,8,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,M
SO44135,3578.27 €,3,7,8,70000,Bachelors,Professional,0,1,1,S,0,0,F
